taj-gibson,2021,2020-21,10.3,10.7,1.5,66.1,15.0,9.2,9.5,0.2,2021-22,9.7,9.7,1.4,60.6,12.9,10.9,9.8,0.2
taurean-prince,2020,2019-20,16.7,8.2,2.5,49.7,11.4,12.4,20.1,10.6,2020-21,8.5,3.15,2.0,26.6,9.1,4.75,9.9,4.35
terence-davis,2021,2020-21,10.3,3.05,1.6,28.5,6.7,4.95,10.65,3.95,2021-22,23.2,7.0,3.0,54.3,11.1,9.2,24.5,0.2
terry-rozier,2019,2018-19,15.8,6.9,5.2,50.1,23.0,6.8,19.1,9.1,2019-20,21.0,5.1,4.8,55.3,18.2,9.9,24.2,7.0
tobias-harris,2019,2018-19,10.4,4.5,1.65,28.1,7.05,3.75,11.45,6.0,2019-20,22.9,8.0,3.7,55.6,14.2,6.5,23.8,11.1
torrey-craig,2021,2020-21,7.6,5.1,1.1,30.15,6.8,4.1,7.5,6.8,2021-22,6.65,4.1,1.15,27.9,7.2,6.15,7.25,5.35
wayne-ellington,2021,2020-21,17.5,3.4,2.6,62.5,14.8,7.3,16.4,0.1,2021-22,14.2,3.8,1.5,59.3,10.3,6.5,13.2,0.1
will-barton,2021,2020-21,16.4,5.2,4.2,53.8,19.3,10.2,19.2,0.1,2021-22,18.3,6.0,4.9,54.8,20.4,9.4,20.7,0.1
zach-collins,2021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,17.4,12.2,4.9,59.4,21.1,15.5,19.5,0.3
zach-lavine,2018,2017-18,24.5,5.7,4.4,49.9,13.9,8.3,28.4,7.7,2018-19,27.5,5.4,5.2,57.4,15.7,12.0,30.0,7.4
